feature,importance
is_app_user,0.09364806343740441
crypto_wit_sum,0.06474766025194854
age,0.04747517139363853
ip_unique_count,0.04595049826992257
account_age_days,0.04333802346449225
kyc_speed_sec,0.037439780811487584
swap_sum,0.034953980567378064
is_high_risk_career,0.030387086710757117
twd_dep_sum,0.028396359824559365
crypto_wit_max,0.027684715328879086
twd_dep_count,0.02501361295412652
crypto_protocol_diversity,0.023700673816385676
ip_max_shared,0.02261335094391111
crypto_wit_mean,0.022383690196579747
ip_total_count,0.021119459519714553
ip_diversity_frequency,0.019949138665544392
twd_dep_std,0.019628991072806332
crypto_wit_count,0.018723730981446838
twd_dep_mean,0.017107069406339537
swap_count,0.017104181023471148
trading_count,0.0167584923027554
large_fast_turnover,0.01665810981311407
total_trading_volume,0.01595817309750407
crypto_dep_mean,0.014988160351377683
crypto_external_wit_count,0.014962425244529265
is_high_risk_income,0.01488825876898655
trading_market_order_ratio,0.014645256717477054
twd_dep_max,0.014133521078211917
composite_risk_score,0.013661900946075894
crypto_dep_max,0.013474332304039924
crypto_dep_sum,0.013277021250744772
crypto_currency_diversity,0.013135700754952103
crypto_dep_count,0.012542054846518264
crypto_wit_ip_ratio,0.01189036218550938
night_high_frequency,0.011563715737922827
trading_buy_ratio,0.010972779020763183
ip_night_ratio,0.010295693427956571
fund_stay_sec,0.009405422250912324
trading_mean,0.008544443334080757
age_volume_mismatch,0.008445612545725205
trading_sum,0.008416368082880186
trading_max,0.008214653604186502
currency_protocol_complexity,0.00784766966663573
twd_withdraw_ratio,0.00689860713524846
crypto_internal_peer_count,0.00674213782593715
withdraw_velocity,0.006421840712142496
twd_wit_ip_ratio,0.006146796814041393
twd_wit_sum,0.004537921150614153
twd_wit_max,0.004182031378773315
twd_wit_mean,0.004133703289195015
twd_wit_std,0.0038498469250424576
twd_wit_count,0.0035615443776751475
quick_kyc_quick_withdraw,0.0027320542348103567
career_income_risk,0.002622413770443591
twd_smurf_flag,0.0021057907095588723
smurf_withdraw_pattern,1.9950514697913146e-05
new_account_high_risk,0.0
risky_career_low_kyc,0.0
has_kyc_level2,0.0
