user_id,kyc_speed_sec,account_age_days,is_high_risk_career,is_high_risk_income,career_income_risk,career_freq,is_app_user,reg_hour,reg_is_night,reg_is_weekend,reg_to_kyc1_days,twd_dep_count,twd_dep_sum,twd_dep_mean,twd_dep_std,twd_dep_max,twd_wit_count,twd_wit_std,twd_wit_max,twd_net_flow,twd_withdraw_ratio,twd_smurf_flag,twd_wit_ip_ratio,crypto_dep_count,crypto_dep_mean,crypto_dep_max,crypto_wit_count,crypto_wit_sum,crypto_wit_mean,crypto_wit_max,crypto_currency_diversity,crypto_protocol_diversity,crypto_wallet_hash_nunique,crypto_internal_count,crypto_internal_peer_count,crypto_wit_ip_ratio,trading_mean,trading_max,trading_buy_ratio,trading_market_order_ratio,swap_count,swap_sum,ip_unique_count,ip_night_ratio,ip_max_shared,fund_stay_sec,pagerank_score,connected_component_size,total_tx_count,first_to_last_tx_days,weekend_tx_ratio,dep_to_first_wit_hours,twd_to_crypto_out_ratio,tx_amount_cv,rapid_kyc_then_trade,crypto_out_in_ratio,same_day_in_out_count,tx_interval_mean,tx_interval_std,tx_interval_min,tx_interval_median,amount_p90_p10_ratio,active_days,if_score,hbos_score,lof_score,gnn_emb_0,gnn_emb_1,gnn_emb_2,gnn_emb_3,gnn_emb_4,gnn_emb_5,gnn_emb_6,gnn_emb_7,gnn_emb_8,gnn_emb_9,gnn_emb_10,gnn_emb_11,gnn_emb_12,gnn_emb_13,gnn_emb_14,gnn_emb_15
28555,0.0551759,-0.024905905,-0.0039562173,0.0047854553,-0.00074822176,-0.01665975,-0.08191583,-0.122415155,-0.019364694,-0.018558202,0.00020874805,0.08313484,-0.04325705,0.023215095,0.040298335,0.028143419,-0.043171775,0.012875166,0.13751328,0.086342886,-0.009003183,-1.3441967e-05,0.00023437,0.25349718,-0.09294483,-0.08838162,0.05123282,0.07859378,-0.034788396,0.0056344015,0.020543056,-0.08336528,0.22384374,-0.0033530346,-0.003308241,-0.0016132236,-0.06721636,0.008173023,0.05652314,-0.051880393,-0.023521027,-0.08920251,-0.04903417,0.021950558,-0.0004124071,0.15375155,-0.0008225816,-0.0011971387,0.15908635,-0.024987886,0.057997566,0.014112497,-0.05460277,0.17124377,8.653714e-05,-0.01581662,0.025727218,0.053729903,-0.018225752,-0.025484344,0.3570032,0.10273447,0.04099696,0.12107184,0.12651114,0.031082116,0.012474333,0.03889845,-0.11438283,-0.031011228,-0.024652567,5.997415e-05,-0.1386789,-0.017158542,-0.12188258,0.023148429,-0.003104897,-0.022152927,-0.03455294,0.021169642,0.046944994,-0.00016415014
74015,0.07845084,-0.17982286,-0.007544118,-0.056272753,-0.0007648777,-0.21246299,-0.042609762,0.03864348,0.003084168,-0.021873675,0.00010357336,-0.025564153,-0.016662817,-0.010379794,-0.019884903,-0.0074305516,-8.0975165e-05,-0.0012511712,0.32178795,0.17122126,0.02727396,-2.3643468e-05,0.0015867545,0.010740769,-0.22963355,-0.14282942,-0.014678124,-0.10162761,-0.0444202,-0.034288876,0.015151461,0.00776842,-0.045042012,-0.0012211174,-0.0024850627,0.0008681717,0.1192461,0.0650933,0.031838864,0.28422764,-0.03415108,-0.12853509,-0.01212248,0.09362892,-0.0020860026,-0.02564165,-0.00051404414,-0.00044007145,-0.050297383,0.024457872,0.08678184,0.0054931557,-0.08306737,0.08338085,9.245469e-05,-0.008354708,-0.0071682897,0.021191891,-0.05461039,-0.058235385,0.38051227,0.11295614,-0.022615,0.1501702,0.15434977,0.030530225,0.039068215,0.10799242,0.10592871,0.047797404,0.0073979925,0.040900595,0.043152563,-0.007009029,-0.101345934,-0.10688221,0.037234586,0.041953817,0.016956577,0.041497868,-0.014493569,0.002306754
95398,0.07535384,-0.13665096,-0.0061627426,0.006005777,-0.00077207206,-0.018886881,0.026577171,0.02810038,0.002743205,-0.016611218,0.00029152486,-0.041461322,-0.06168957,-0.03226211,-0.03417221,-0.01599955,-0.08462639,-0.007502789,0.15044522,0.0729245,-0.020207522,-2.3643468e-05,0.001359127,0.011429276,-0.214542,-0.08126057,-0.026239848,0.58428913,-0.013995213,0.034387298,0.021970904,0.0077694384,0.06675486,-0.0044856067,-0.003374351,-0.0033467186,0.021149473,-0.0013266017,0.06633336,-0.03707374,-0.02932727,-0.08736591,-0.021173356,0.087351546,-0.02163681,-0.024840575,-0.0017781415,-0.0018023674,0.15110227,-0.015498094,0.0669236,-0.009048128,-0.044646483,0.21524392,0.000114564784,-0.002542167,0.015945118,0.053639155,-0.0028028386,-0.015465816,0.35555312,0.09635983,0.043613162,0.1672699,0.12508567,0.068021566,0.029644752,0.01946709,0.057949822,0.00856036,0.017010855,-0.037567098,0.07463581,0.0024352344,0.030728236,0.018601736,-0.03790945,-0.024137076,-0.0028883365,-0.0032801528,-0.018800884,-0.011335416
99682,0.04101944,-0.16662659,-0.0042573116,0.0055725826,-0.0009337074,-0.013512407,0.023967661,0.0036398661,0.002843894,-0.023677565,0.0003073055,-0.02140414,-0.037760284,-0.00056871,-0.023706561,0.000823959,-0.015137751,0.014388555,0.21151799,0.15832545,0.016641023,-2.3643468e-05,0.0014979551,0.2632982,-0.10367576,-0.08221443,-0.017592264,-0.11079134,-0.049338117,-0.043770093,-0.0066574723,-0.007548025,-0.053815097,-0.0015708875,-0.0028306984,0.00036849894,0.0830008,0.054795526,0.07117056,-0.02327414,-0.024182431,-0.08631892,-0.003836969,-0.17721371,-0.0010241913,-0.020624375,-0.0006635563,-0.0008029685,0.12822342,-0.039478716,0.04191253,0.017175127,-0.034461696,0.055029497,0.00011572504,0.005804475,-0.0060788793,0.029578675,-0.005915653,-0.008540162,0.44148475,0.11858434,0.057606407,0.05724072,0.09108155,0.032670323,0.019835,0.09582147,0.052975293,0.009870484,0.0006316259,-0.01476334,-0.14292711,-0.0126927355,0.0192822,-0.1003446,0.026060242,-0.017585758,-0.01961966,0.04760772,-0.029393278,-0.045386102
100622,0.06853235,-0.05148871,0.068776764,-0.058631267,0.016761398,0.009052104,-0.09434027,0.007398025,0.0020835616,-0.010187439,0.00015469169,0.10162669,0.1240927,0.007274236,0.068401806,0.0073780115,-0.04666185,0.0078981295,0.11099203,-0.068927646,-0.048518214,-1.3441967e-05,0.000992413,0.22588466,0.004316397,-0.059241287,0.041066866,0.35274488,-0.07586277,0.04818262,0.012062148,-0.09630218,0.21586871,-0.002474772,-0.003333235,-0.0014789398,-0.052659936,0.01342836,-0.032262746,-0.05223215,-0.04876406,-0.11768175,-0.060754474,0.12593627,-0.0030499655,0.029115345,-0.0007647306,-0.0018784049,0.18700024,-0.03913372,0.042827588,0.018364813,-0.06878672,0.09069581,9.004904e-05,-0.028968887,0.03552187,0.08005588,-0.014626508,-0.021729361,0.0073967017,0.09335159,0.046178408,0.11181958,0.10189661,0.020132337,-0.03226086,-0.001433057,-0.03063446,-0.026755689,0.0081724785,-0.01883902,0.07431855,-0.02238333,-0.010010399,0.010511453,-0.014184357,-0.020011824,-0.024280973,-0.020644322,-0.02855836,0.035309464
119706,0.09546535,-0.18353161,-0.008338571,0.0045852363,-0.0017590778,0.21789329,-0.08141996,0.024852686,0.004594986,-0.015851177,0.00025834265,-0.027292496,0.08138822,-0.004950851,-0.013894518,0.012426233,0.004760729,0.000673203,0.30771968,0.16241767,0.066514656,-2.3643468e-05,0.005299826,-0.07386779,0.091512166,0.06958119,-0.014359507,-0.076873876,-0.04699061,-0.032622613,-0.025570834,-0.01890546,-0.01962834,-0.0015236709,-0.0017216618,0.0023862112,0.05205969,0.04650071,0.04758961,-0.056124523,-0.07773488,-0.229207,-0.04878687,0.09274623,-0.011909512,0.19201645,-0.0009814636,-0.00035275434,-0.039530993,0.046231184,-0.27228868,0.06918026,0.12842365,-0.03200405,0.00011572504,-0.003929979,-0.0054686368,0.007020543,0.010695729,-0.0501807,0.27628797,-0.035069928,-0.0033447612,0.078546785,0.1371197,0.030268755,0.014423336,-0.039423328,0.024438158,-0.026889054,0.029291557,0.055231743,0.063007854,-0.010756077,-0.0017505939,-0.010752763,0.006531064,0.016184062,0.044254076,0.040731538,0.00861723,-0.036786605
245382,-0.07070987,-0.10412107,-0.0061041727,0.0047488753,-0.00069081114,0.032649238,0.02388994,-0.062243827,0.002517715,-0.016730653,-0.019182218,-0.03198567,-0.039780736,-0.020344473,-0.024075853,-0.003555383,0.0071323127,-0.0017381596,-0.039698582,0.04350475,0.0054608607,-2.3643468e-05,0.0026210998,0.28355154,-0.0066026608,-0.13468064,-0.03386854,-0.15364598,-0.049053412,-0.04294644,0.019218605,-0.15202063,0.16521221,-0.0016356438,-0.002477132,-0.0021714568,-0.12678063,-0.102714665,0.019702826,-0.009532437,-0.04125632,-0.14507784,-0.0054306304,0.059749022,-0.003256476,-0.015254044,-0.0004717625,-0.0007780683,0.037076417,-0.04418068,0.05274272,-0.0013785419,-0.03546914,0.047755525,0.00011572504,-0.013780021,0.014482204,-0.011044469,-0.11475872,-0.044981975,0.30839628,0.023259925,0.04741996,0.051157925,0.044216137,0.016656468,-0.0269703,-0.0692781,-0.16872787,0.0064663226,0.041771863,-0.025681267,-0.04617391,-0.0070519447,-0.005926905,-0.09718951,-0.027225686,-0.042104557,-0.046112306,0.037538756,-0.023714524,-0.029664332
333116,0.04077439,-0.2639123,-0.00866729,0.0028362616,-0.00076721417,-0.0018369651,0.048564818,0.061514422,0.0028935107,-0.0014814537,5.9437905e-05,0.23814581,0.35722238,-0.022340693,0.098871134,-0.008883018,0.00421042,0.001414049,-0.024160694,0.24286012,0.01488568,-3.0314512e-05,-0.00028901955,0.013834336,0.016841074,-0.0029845557,0.08090729,0.76289713,0.09953551,0.23123476,0.0042087673,0.0058158366,-0.04518357,-0.0021909997,-0.0025516031,-0.0010028097,0.008336055,0.027717182,-0.06210407,0.4585622,-0.028089302,-0.08046432,-0.0442326,0.121573254,-0.009293855,0.0042163786,-0.0014141265,-0.0008162712,0.19396454,0.04287648,-0.34877098,-0.0017097961,-0.09603437,0.005668648,9.004904e-05,0.0016066672,0.012642773,0.1886123,0.20740993,-0.021178601,-0.28502342,-0.033399846,-0.017452698,0.032036606,-0.005506254,0.047734406,-0.023409342,-0.04007619,-0.033185102,0.056861974,-0.050913673,0.09135506,-0.020160617,-0.019594293,-0.08594568,0.03114483,0.028076673,-0.034928575,-0.0121186,0.04360448,-0.0001902536,0.026140597
339429,0.049742267,-0.13698173,-0.005050388,-0.08585092,-0.00047497035,0.15441611,0.027055949,0.099474296,0.0030902063,-0.021389462,0.0002767106,-0.054440297,0.07751136,-0.021424878,-0.036526747,-0.0041326545,0.0015216253,0.0018554048,-0.07027366,-0.13857311,-0.03478615,-2.3643468e-05,-0.0023969277,-0.05388768,0.057474002,0.045303326,-0.009620995,-0.17835684,-0.10659698,-0.08174766,-0.058822557,-0.004381466,0.05146633,-0.0010474918,-0.0017358836,0.0013296342,0.007702376,0.033359237,0.035933428,-0.03130321,0.27973348,1.0241373,-0.09166217,0.087422855,-0.008090066,-0.03413688,-0.00079133944,-0.00030035793,-0.058576867,0.01912583,0.107434295,-0.018725121,0.029563444,-0.03301635,0.00011572504,-0.019908044,-0.0038302348,0.0889277,0.04096341,-0.033364873,0.18069333,-0.02559419,-0.014429443,0.04414576,-0.047087945,0.025357915,-0.033048708,-0.03253656,-0.12821914,0.0021302504,-0.020813022,-0.038429745,0.042094447,-0.052189473,0.009025055,-0.017947908,-0.04320777,-0.016600009,-0.1347805,0.020790152,0.026754523,0.003186515
368922,-0.015616224,-0.18794581,-0.010633181,0.003540705,-0.0011171524,0.0024098973,-0.18680848,0.074719146,0.0029259378,-0.018237196,0.00016976071,-0.102482446,0.14342676,0.0071773683,0.114621945,-0.0037602426,0.0031802189,0.0012732015,-0.02903267,-0.04914872,-0.002070033,-3.0314512e-05,-0.00045139965,-0.03442478,0.06733328,0.053716585,-0.017567977,0.19799437,0.07134504,0.08419411,0.006064299,0.00686362,-0.02302614,-0.0012823984,-0.0017675993,-0.0020656576,0.016014192,0.05495454,0.055352468,-0.017704649,0.17578503,0.7459422,-0.024353722,0.10310495,-0.00643613,-0.009591237,-0.0007831304,-0.0006594275,-0.04189479,0.02856633,0.07554042,0.00018050212,0.082876794,-0.03682042,9.004904e-05,-0.011247126,-0.007182358,0.12589648,0.056416575,-0.0591703,-0.07251167,-0.014690511,-0.011771831,-0.036500867,0.0095438305,0.017081054,-0.024586083,-0.04002405,-0.0408886,0.011566285,0.0042558275,-0.014972844,0.002332046,-0.013443188,-0.0065119895,-0.04432183,0.038831685,-0.011315211,0.04081929,0.018226571,0.0008107504,-4.7720037e-05
